MMS Id,Permanent Call Number,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 54 1962,0123500583422,39097014383617,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 56 1964,0123500583448,39097014383633,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 57 1965,0123500583455,39097014383641,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 58 1966,0123500583463,39097014383658,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 59 1967,0123500583471,39097014383666,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 6 1914,0123500582945,39097014383674,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 60 1968,0123500583489,39097014383682,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 61 1969,0123500583497,39097014383690,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 62 1970,0123500583505,39097014383708,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 63 1971,0123500583513,39097014383716,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 64 1972,0123500583521,39097014383724,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 65 1973,0123500583539,39097014383732,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 66 1974,0123500583547,39097014383740,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 67 1975,0123500583554,39097014383757,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 68 1976,0123500583562,39097014383765,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 69 Ian.-Iun. 1977,0123500583570,39097014383773,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 69 Iul.-Dec. 1977,0123500583588,39097014383781,,
993774520101921,+ BX850 .A32,Main Library,Stacks,Item in place,Acta Apostolicae Sedis; commentarium officiale.,v. 7 1915,0123500582952,39097014383799,,
