MMS Id,Permanent Call Number,Column1,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.6(1961),0123500294483,39097014643259,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.7(1962),0123500294491,39097014643267,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.8(1963),0123500294509,39097014643275,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.9(1964),0123500294517,39097014643283,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.10(1965),0123500294525,39097014643291,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.11(1966),0123500294533,39097014643309,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.12(1967),0123500294541,39097014643317,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.13(1968),0123500294558,39097014643325,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.14(1969),0123500294566,39097014643333,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.15(1970),0123500294574,39097014643341,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.17(1972),0123500294590,39097014643358,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.18(1973),0123500294608,39097014643366,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.19(1974),0123500294616,39097014643374,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.20(1975),0123500294624,39097014643382,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.21-22(1976-1977),0123500294632,39097014643390,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.23(1978),0123500294640,39097014643408,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.24(1979),0123500294657,39097014643416,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.25(1980),0123500294665,39097014643424,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.26(1981),0123500294673,39097014643432,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.27(1982),0123500294681,39097014643440,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.28(1983),0123500294699,39097014643457,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.29(1984),0123500294707,39097014643465,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.31(1986),0123500294715,39097014643473,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.32(1987),0123500294723,39097014643481,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.33(1988),0123500294731,39097014643499,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.34(1989),0123500294749,39097014643507,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.35(1990),0123500294756,39097014643515,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.36(1991),0123500294764,39097014643523,,
993613680101921,PJ3001 .J6,,Main Library,Stacks,Item in place,Journal of Semitic studies.,v.37(1992),0123500294772,39097014643531,,
995999680101921,PJ4503 .L35,,Main Library,Stacks,Item in place,Lashon á¹¿e-Ê»Ivrit.,,0888800005801,39097014612866,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 1 1882,0123501432199,39097014650940,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 2 1883,0123501432207,39097014650957,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 3 1884,0123501432215,39097014650965,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 4 1885,0123501432223,39097014650973,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 5 1886,0123501432231,39097014650981,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 6 1887,0123501432249,39097014650999,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 7 1888,0123501432256,39097014651005,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 8 1889,0123501432264,39097014644414,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 9 1890,0123501432272,39097014644422,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 10 1891,0123501432280,39097014644430,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 11 1892,0123501432298,39097014644448,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 12-13 1893-94,0123501432306,39097014644455,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 14-15 1895-96,0123501432314,39097014644463,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 16-17 1897-98,0123501432322,39097014644471,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 18-19 1899-1900,0123501432330,39097014644489,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 20-21 1901-02,0123501432348,39097014644497,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 22-23 1903-04,0123501432355,39097014644505,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 24-25 1905-06,0123501432363,39097014644513,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 26-27 1907-08,0123501432371,39097014644521,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 28-29 1909-10,0123501432389,39097014644539,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 30-31 1911-12,0123501432397,39097014644547,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 32-33 1913-16,0123501432405,39097014644554,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 34-35 1921-22,0123501432413,39097014644562,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 36-37 1923-24,0123501432421,39097014644570,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 38-39 1925-26,0123501432439,39097014644588,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 40-41 1927-28,0123501432447,39097014644596,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 42-43 1929-30,0123501432454,39097014644604,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 44-45 1931-32,0123501432462,39097014644612,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 46-47 1933-34,0123501432470,39097014644620,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 48-49 1935-36,0123501432488,39097014644638,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 50-51 1937-38,0123501432496,39097014644646,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 52-53 1939-40,0123501432504,39097014644653,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 54-55 1941-42,0123501432512,39097014644661,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 56-58 1943-45,0123501432520,39097014644679,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 61-62 1948-49,0123501432546,39097014644687,,
994568230101921,PJ4 .M8,,Main Library,Stacks,Item in place,Le MusÃ©on.,v. 63-64 1950-51,0123501432553,39097014644695,,
